Chain: polkadot; replacing 13 bootnode(s) with /ip4/127.0.0.1/tcp/30333/ws/p2p/12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
JSON-RPC server listening on ws://127.0.0.1:9944
polkadot.js apps: https://polkadot.js.org/apps/?rpc=ws%3A%2F%2F127.0.0.1%3A9944

[INFO] [smoldot] Smoldot v3.4.0
[INFO] [smoldot] Chain initialization complete for polkadot. Name: "Polkadot". Genesis hash: 0x91b1…90c3. Chain specification starting at: 0x91b1…90c3 (#0)
[WARN] [smoldot] Chain specification of polkadot contains a `protocolId` field. This field is deprecated and its value is no longer used. It can be safely removed from the JSON document.
[WARN] [smoldot] Chain specification of polkadot contains a non-empty `telemetryEndpoints` field. Smoldot doesn't support telemetry endpoints and as such this field is unused.
[WARN] [smoldot] The task named `add-chain-0` has occupied the CPU for an unreasonable amount of time (2497ms).
[DEBUG] [network] connection-started; expected_peer_id=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m, remote_addr=/ip4/127.0.0.1/tcp/30333/ws, local_peer_id=12D3KooWNuzirWxAcYCuYWVbipqFP3A5wrv6PTAsfFtfjX7fH6sG
[DEBUG] [network] discovery-skipped-no-peer; chain=polkadot
(rpc) client connected: 127.0.0.1
[WARN] [smoldot] The task named `add-chain-1` has occupied the CPU for an unreasonable amount of time (2450ms).
[WARN] [json-rpc-polkadot] The JSON-RPC client has just called a JSON-RPC function from the legacy JSON-RPC API (chain_getBlockHash). Legacy JSON-RPC functions have loose semantics and cannot be properly implemented on a light client. You are encouraged to use the new JSON-RPC API <https://github.com/paritytech/json-rpc-interface-spec/> instead. The legacy JSON-RPC API functions will be deprecated and removed in the distant future.
[DEBUG] [network] discovery-find-node-started; chain=polkadot, request_target=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m, requested_peer_id=12D3KooWQtRfM47W44YjBUt9WpZWFd3hZ76eSo7nSXoaFYTZ2Fa1
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip4/91.134.9.221/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip6/2001:41d0:33d:dd00::/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip6/::1/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip4/127.0.0.1/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip6/fd7a:115c:a1e0::a401:8c3f/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDrwPYMviFRTekuEaFb96ngr8jhLxnpw8h56q6TuMW21a, addr=/ip4/100.65.140.61/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/52386/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
